TrainAcc,PubtestAcc,PritestAcc
tensor(34.3946),tensor(45.5559),tensor(45.9738)
tensor(49.6548),tensor(53.6640),tensor(54.6113)
tensor(54.9379),tensor(56.6732),tensor(56.9797)
tensor(57.7661),tensor(57.8991),tensor(58.0106)
tensor(59.2795),tensor(59.7938),tensor(60.8805)
tensor(60.5803),tensor(59.6545),tensor(60.9919)
tensor(61.7450),tensor(60.5461),tensor(61.2148)
tensor(62.9481),tensor(61.7442),tensor(62.5801)
tensor(63.9594),tensor(62.0507),tensor(62.4129)
tensor(64.7510),tensor(61.3541),tensor(63.3324)
tensor(65.1869),tensor(61.7721),tensor(63.1095)
tensor(66.0273),tensor(63.6110),tensor(64.5305)
tensor(66.3900),tensor(61.6885),tensor(63.4717)
tensor(66.9061),tensor(61.8557),tensor(62.6637)
tensor(67.7954),tensor(63.4160),tensor(63.2488)
tensor(67.8512),tensor(64.6420),tensor(64.4748)
tensor(68.2661),tensor(63.9175),tensor(63.7225)
tensor(69.1310),tensor(63.8897),tensor(64.4469)
tensor(69.1484),tensor(63.0259),tensor(63.4996)
tensor(69.2042),tensor(63.3045),tensor(63.9175)
